1000	0.639	0.282312
2000	2.433	0.114018
3000	5.476	0.05
4000	9.73	0.01
5000	15.297	0.0447214
6000	21.861	0.0316228
7000	30.204	0.0412311
8000	39.164	0.0282843
9000	52.175	0.01
10000	65.862	0.0141421
11000	78.767	0.01
12000	89.924	0.0223607
13000	102.525	0.01
14000	118.845	0.01
15000	136.559	0.0223607
